country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Aruba,ABW,10,0,118013,3.96,3.6500001,3.1400001,3.3299999,2.3499999,3.1800001,2.4200001,3.1400001,2.28,3.45,3.0699999,2.3399999,3.96,2.9400001,4.3200002,2.3299999,3.26,2.8599999,4.4899998,2.73,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,10,10,30278455,24.469999,21.889999,29.57,22.74,27.280001,21.91,19.799999,16.65,25.49,19.049999,24.83,24.76,24.469999,34.720001,27.950001,27.01,24.110001,29.58,22.1,21.9,30.93,1.42,1.17,1.92,1.25,1.6900001,1.17,.95999998,.64999998,1.52,.88999999,1.45,1.45,1.42,2.4200001,1.76,1.67,1.38,1.92,1.1900001,1.17,2.05,1.42,1.17,1.92,1.25,1.6900001,1.17,.95999998,.64999998,1.52,.88999999,1.45,1.45,1.42,2.4200001,1.76,1.67,1.38,1.92,1.1900001,1.17,2.05
Angola,AGO,10,0,31245980,15.47,12.61,12.58,14.68,14.7,13.78,13.7,14.3,12.89,13.45,14.27,14.48,15.47,14.79,15.25,15.33,13.94,15.88,16.67,14.15,14.83,.54000002,.30000001,.30000001,.47,.47,.38999999,.38999999,.44,.31999999,.36000001,.44,.44,.54000002,.47,.51999998,.52999997,.40000001,.57999998,.64999998,.43000001,.47999999,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,10,0,17756,2.7,1.64,2.5999999,2.04,1.39,1.7,1.74,1.67,1.66,1.9299999,1.55,1.58,2.7,1.38,2.74,1.17,1.64,2.0599999,2.1400001,1.33,1.3200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Åland,ALA,10,0,29715,5.73,7.6199999,6.8899999,5.7800002,6.2600002,6.5100002,4.9099998,5.7600002,7.2199998,5.2399998,5.4499998,6.1999998,5.73,5.77,5.0900002,5.21,6.25,4.3400002,4.4699998,3.8599999,4.9099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,10,15,3063723,8.1899996,16.530001,17.209999,14.54,17.1,15.99,11.21,16.719999,16.219999,15.8,12.44,14.87,8.1899996,17.780001,15.75,14.39,9.7299995,15,12.92,12.41,12.91,.0099999998,.63999999,.70999998,.44,.69999999,.58999997,.15000001,.66000003,.61000001,.56999999,.25,.47999999,.0099999998,.75999999,.56,.43000001,.07,.49000001,.28999999,.25,.28999999,0,.2,.23999999,.079999998,.22,.16,0,.2,.18000001,.15000001,.029999999,.090000004,0,.28999999,.16,.079999998,0,.12,.050000001,.029999999,.039999999
Andorra,AND,10,25,85671,6.3299999,10.66,9.8400002,9.0699997,9.6000004,7.8000002,7.6500001,7.9699998,7.1399999,7.8400002,5.6700001,7.7800002,6.3299999,8.3699999,7.5900002,6.5500002,4.8499999,6.2600002,7.0300002,5.8800001,5.6500001,0,.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,10,0,9819828,22.83,20.360001,26.75,18.76,22.610001,18.75,18.33,19.190001,26.809999,21.02,31.459999,28.52,22.83,26.07,39.779999,27.030001,18.59,29.35,20.219999,22.959999,26.040001,1.26,1.02,1.64,.86000001,1.24,.86000001,.81999999,.89999998,1.65,1.08,2.0999999,1.8099999,1.26,1.58,2.9200001,1.67,.83999997,1.9,1,1.27,1.5700001,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,10,15,45220840,6.8099999,7.8800001,7.3299999,7.3000002,7.5,6.4499998,6.52,6.6599998,6.8600001,6.9099998,6.6500001,7.02,6.8099999,7.6300001,6.5900002,6.7399998,7.0300002,6.9000001,7.1599998,6.23,6.8499999,.059999999,.059999999,.059999999,.050000001,.059999999,.029999999,.039999999,.039999999,.039999999,.050000001,.039999999,.050000001,.059999999,.059999999,.050000001,.050000001,.039999999,.039999999,.050000001,.029999999,.039999999,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,0,0,0,0,.0099999998,0,.0099999998,.0099999998,.0099999998,0,.0099999998,0,0,0,0,0
Armenia,ARM,10,0,3038195,12.23,15.62,14.1,12.75,13.7,13.36,14.14,12.58,15.57,13.8,16.66,15.97,12.23,17.799999,16.059999,17.049999,17.1,19.290001,14.55,14.66,16.67,.23,.55000001,.40000001,.28999999,.37,.34999999,.41,.28,.55000001,.38,.64999998,.57999998,.23,.75999999,.60000002,.69,.69999999,.91000003,.44999999,.46000001,.64999998,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,10,0,46136,.74000001,.69999999,.66000003,.56,.68000001,.69999999,.66000003,.94999999,.66000003,.63999999,.64999998,.62,.74000001,.64999998,.50999999,.57999998,.75,.56,.94,.73000002,.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,ATF,10,0,35392,4.9299998,3.54,3.8499999,5.8699999,4.9400001,4.1999998,3.97,4.1700001,3.8099999,4.4699998,3.8399999,5.4699998,4.9299998,5.5500002,5.7199998,5.75,5.5300002,6.3200002,6.6399999,3.54,3.8199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,10,0,97031,2.78,1.71,2.54,2.25,1.45,1.66,1.71,1.67,1.47,1.99,1.79,1.37,2.78,1.4400001,2.6500001,1.12,1.77,1.91,2.3699999,1.11,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
